resultat image
1 apple 31 56
2 bat 10 18
3 beetle 4 16
4 bell 11 19
5 bird 9 24
6 Bone 7 13
7 bottle 8 15
8 brick 11 18
9 buterfly 16 46
10 camel 17 27
11 car 13 23
12 carriage 13 20
13 cattle 13 24
14 cellular_phone 12 24
15 chicken 13 23
16 children 16 19
17 chopper 11 20
18 classic 19 35
19 Comma 8 19
20 crown 11 32
21 cup 25 40
22 deer 11 22
23 device0 6 24
24 device1 8 13
25 device2 6 24
26 device3 4 70
27 device4 4 10
28 device5 8 13
29 device6 5 11
30 device7 10 16
31 device8 5 14
32 device9 27 111
33 dog 11 23
34 elephant 18 39
35 face 30 38
36 fish 5 23
37 flatfish 18 32
38 fly 11 22
39 fork 15 25
40 fountain 14 22
41 frog 16 33
42 Glas 4 6
43 guitar 17 35
44 hammer 7 19
45 hat 7 39
46 HCircle 20 37
47 heart 46 64
48 horse 9 25
49 horsehoe 20 39
50 jar 34 45
51 key 19 38
52 lizzard 20 32
53 lmfish 16 32
54 misk 30 47
55 octopus 21 42
56 pencil 11 27
57 personal_car 20 35
58 pocket 21 69
59 rat 4 17
60 ray 17 29
61 seasnake 17 32
62 shoe 34 48
63 spoon 18 30
64 spring 26 43
65 stef 8 14
66 teddy 16 27
67 tree 10 21
68 truck 12 15
69 turtle 13 27
70 watch 9 25
