resultat image
1 apple 0.0969789 0.156383
2 bat 0.242308 0.361836
3 beetle 0.183377 0.315696
4 bell 0.202551 0.28957
5 bird 0.220148 0.343185
6 Bone 0.298906 0.375488
7 bottle 0.157895 0.346547
8 brick 0.174548 0.22161
9 buterfly 0.11191 0.325003
10 camel 0.151448 0.299565
11 car 0.178554 0.317284
12 carriage 0.198012 0.331066
13 cattle 0.228842 0.314732
14 cellular_phone 0.14271 0.340062
15 chicken 0.189217 0.276398
16 children 0.204632 0.270502
17 chopper 0.212977 0.252336
18 classic 0.202149 0.286475
19 Comma 0.261793 0.345094
20 crown 0.119507 0.206221
21 cup 0.0966519 0.24089
22 deer 0.178375 0.309788
23 device0 0.120512 0.200794
24 device1 0.159852 0.173057
25 device2 0.0773627 0.242724
26 device3 0.0702732 0.252642
27 device4 0.0555966 0.34335
28 device5 0.169548 0.174213
29 device6 0.160901 0.214387
30 device7 0.100143 0.102237
31 device8 0.22357 0.346526
32 device9 0.0248374 0.0733494
33 dog 0.229263 0.283482
34 elephant 0.116445 0.24151
35 face 0.114128 0.14982
36 fish 0.161634 0.388009
37 flatfish 0.131466 0.222478
38 fly 0.161079 0.251953
39 fork 0.237581 0.378717
40 fountain 0.18794 0.273239
41 frog 0.132329 0.22211
42 Glas 0.254659 0.269493
43 guitar 0.217791 0.351259
44 hammer 0.260528 0.376813
45 hat 0.135353 0.346106
46 HCircle 0.117806 0.277357
47 heart 0.16597 0.254631
48 horse 0.228191 0.345134
49 horsehoe 0.0825606 0.192151
50 jar 0.0932115 0.176536
51 key 0.222388 0.321772
52 lizzard 0.209102 0.296986
53 lmfish 0.123607 0.271728
54 misk 0.112846 0.252197
55 octopus 0.0878687 0.19695
56 pencil 0.21095 0.413712
57 personal_car 0.152474 0.218816
58 pocket 0.140026 0.194091
59 rat 0.150422 0.298783
60 ray 0.126291 0.26216
61 seasnake 0.0910457 0.30873
62 shoe 0.182859 0.239276
63 spoon 0.249413 0.353162
64 spring 0.239351 0.334804
65 stef 0.226224 0.350953
66 teddy 0.158743 0.185575
67 tree 0.123344 0.237625
68 truck 0.156075 0.306589
69 turtle 0.174928 0.263371
70 watch 0.212004 0.331104
