resultat image
1 apple 0.190321 0.468307
2 bat 2.10308 6.7404
3 beetle 2.58044 11.2226
4 bell 0.616019 2.40315
5 bird 1.4314 4.48002
6 Bone 3.98468 16.0858
7 bottle 0.658814 1.84527
8 brick 1.15827 1.71682
9 buterfly 0.914725 3.09689
10 camel 1.06934 2.72384
11 car 0.68096 1.4255
12 carriage 1.08932 1.86926
13 cattle 1.98137 4.23468
14 cellular_phone 0.894623 2.22961
15 chicken 0.588264 2.56837
16 children 0.838984 1.27455
17 chopper 0.904155 1.40394
18 classic 0.770113 2.47669
19 Comma 1.39595 2.7908
20 crown 0.450267 1.64582
21 cup 0.30119 1.03898
22 deer 2.95313 5.61468
23 device0 0.753622 14.2828
24 device1 4.62874 13.4178
25 device2 0.876536 8.3237
26 device3 0.197225 29.4835
27 device4 0.11882 43.2943
28 device5 2.016 8.82857
29 device6 1.63026 11.5651
30 device7 3.87428 4.96868
31 device8 3.63965 19.3876
32 device9 0.0414537 0.542398
33 dog 1.67821 5.99662
34 elephant 0.78116 1.98173
35 face 0.349291 0.717623
36 fish 0.941552 7.12648
37 flatfish 0.581729 1.72789
38 fly 1.30259 3.90744
39 fork 1.40087 5.50332
40 fountain 0.804834 1.28798
41 frog 0.655971 1.5781
42 Glas 7.31767 26.6765
43 guitar 0.89031 2.38899
44 hammer 1.99139 4.43404
45 hat 0.256979 3.19031
46 HCircle 0.291514 0.940041
47 heart 0.440774 0.694489
48 horse 1.40878 8.4586
49 horsehoe 0.154354 0.595514
50 jar 0.331285 0.704806
51 key 0.674901 2.10887
52 lizzard 1.08392 2.17442
53 lmfish 0.690089 2.24124
54 misk 0.447832 1.0686
55 octopus 0.199046 0.768703
56 pencil 0.821196 3.6069
57 personal_car 0.480263 1.25733
58 pocket 0.303208 0.539012
59 rat 1.26974 8
60 ray 0.881068 3.35946
61 seasnake 0.279822 1.5561
62 shoe 0.57205 0.953564
63 spoon 0.785696 1.43711
64 spring 0.852456 1.58527
65 stef 0.857912 2.5715
66 teddy 0.717587 1.04383
67 tree 1.16294 2.92244
68 truck 0.582878 1.28122
69 turtle 0.810122 2.34502
70 watch 1.93974 4.03677
